sie	ɕ ɛ
medycznej	m ɛ d ɘ t͡ʂ n ɛ j
miec	m j ɛ t͡s
out	a w t
terenach	t ɛ r ɛ n a x
urodzenia	u r ɔ d͡z ɛ ɲ a
wskazują	f s k a z u j ɔ w̃
wykonania	v ɘ k ɔ n a ɲ a
wykonywania	v ɘ k ɔ n ɘ v a ɲ a
zatrudnienia	z a t r u d ɲ ɛ ɲ a
znaków	z n a k u f
zwraca	z v r a t͡s a
angeles	a ŋ ɡ ɛ l ɛ s
dzieki	d͡ʑ ɛ k i
elementem	ɛ l ɛ m ɛ n t ɛ m
kodeksu	k ɔ d ɛ k s u
krajowych	k r a j ɔ v ɘ x
kryzysu	k r ɘ z ɘ s u
liczbie	l i d͡ʐ b j ɛ
obecnego	ɔ b ɛ t͡s n ɛ ɡ ɔ
obszarów	ɔ p ʂ a r u f
oficjalne	ɔ f i t͡s j a l n ɛ
ośrodka	ɔ ɕ r ɔ t k a
play	p l ɛ j
podatków	p ɔ d a t k u f
podpisał	p ɔ t p i s a w
problemami	p r ɔ b l ɛ m a m i
płytę	p w ɘ t ɛ
rejestracji	r ɛ j ɛ s t r a t͡s j i
rocznicę	r ɔ t͡ʂ ɲ i t͡s ɛ
rozwija	r ɔ z v i j a
różnymi	r u ʐ n ɘ m i
tweety	t f i t ɘ
urzędnicy	u ʐ ɛ n d ɲ i t͡s ɘ
zarzuty	z a ʐ u t ɘ
zbrojnych	z b r ɔ j n ɘ x
beda	b ɛ d a
chicago	x i t͡s a ɡ ɔ
dala	d a l a
lotniska	l ɔ t ɲ i s k a
medycznych	m ɛ d ɘ t͡ʂ n ɘ x
najbliższych	n a j b l i ʂ ʂ ɘ x
najwyższego	n a j v ɘ ʂ ʂ ɛ ɡ ɔ
napisem	n a p i s ɛ m
następuje	n a s t ɛ m p u j ɛ
naturalnych	n a t u r a l n ɘ x
odpowiedział	ɔ t p ɔ v j ɛ d͡ʑ a w
przyznaje	p ʂ ɘ z n a j ɛ
publicznym	p u b l i t͡ʂ n ɘ m
rocznicy	r ɔ t͡ʂ ɲ i t͡s ɘ
sytuacjach	s ɘ t u a t͡s j a x
szczegółów	ʂ t͡ʂ ɛ ɡ u w u f
teatru	t ɛ a t r u
telefonie	t ɛ l ɛ f ɔ ɲ ɛ
trafi	t r a f i
wydaniu	v ɘ d a ɲ u
wydatki	v ɘ d a t k i
wystawy	v ɘ s t a v ɘ
wyższa	v ɘ ʂ ʂ a
właścicieli	v w a ɕ t͡ɕ i t͡ɕ ɛ l i
założył	z a w ɔ ʐ ɘ w
ad	a t
brakiem	b r a k j ɛ m
chemii	x ɛ m j i
di	d i
dzieciństwa	d͡ʑ ɛ t͡ɕ i ɲ s t f a
hot	x ɔ t
indywidualnych	i n d ɘ v i d u a l n ɘ x
kolejności	k ɔ l ɛ j n ɔ ɕ t͡ɕ i
kształcie	k ʂ t a w t͡ɕ ɛ
maszyn	m a ʂ ɘ n
obowiązków	ɔ b ɔ v j ɔ n s k u f
oprogramowania	ɔ p r ɔ ɡ r a m ɔ v a ɲ a
pare	p a r ɛ
podstawowa	p ɔ t s t a v ɔ v a
przeciez	p ʂ ɛ t͡ɕ ɛ s
przyjął	p ʂ ɘ j ɔ w
religijne	r ɛ l i ɡ i j n ɛ
richard	r i x a r t
równości	r u v n ɔ ɕ t͡ɕ i
sun	s u n
wniosków	v ɲ ɔ s k u f
włoszech	v w ɔ ʂ ɛ x
zjawiska	z j a v i s k a
zwolenników	z v ɔ l ɛ n ɲ i k u f
śmiechu	ɕ m j ɛ x u
charles	x a r l ɛ s
ekspertów	ɛ k s p ɛ r t u f
faktów	f a k t u f
gatunków	ɡ a t u ŋ k u f
good	ɡ u t
haha	x a x a
kadry	k a d r ɘ
krajowego	k r a j ɔ v ɛ ɡ ɔ
mo	m ɔ
obszaru	ɔ p ʂ a r u
określenia	ɔ k r ɛ ɕ l ɛ ɲ a
otwarcia	ɔ t f a r t͡ɕ a
państwowego	p a ɲ s t f ɔ v ɛ ɡ ɔ
przedsiębiorcy	p ʂ ɛ t ɕ ɛ m b j ɔ r t͡s ɘ
rankingu	r a ŋ k i ŋ ɡ u
reprezentuje	r ɛ p r ɛ z ɛ n t u j ɛ
robienia	r ɔ b j ɛ ɲ a
sportowe	s p ɔ r t ɔ v ɛ
standardy	s t a n d a r d ɘ
trenera	t r ɛ n ɛ r a
typowe	t ɘ p ɔ v ɛ
uzyskania	u z ɘ s k a ɲ a
wprowadza	f p r ɔ v a d͡z a
berlinie	b ɛ r l i ɲ ɛ
dziesięciu	d͡ʑ ɛ ɕ ɛ ɲ t͡ɕ u
ed	ɛ t
fanem	f a n ɛ m
filozofii	f i l ɔ z ɔ f j i
fizycznej	f i z ɘ t͡ʂ n ɛ j
fot	f ɔ t
kwoty	k f ɔ t ɘ
ludowej	l u d ɔ v ɛ j
obserwacji	ɔ p s ɛ r v a t͡s j i
odpadów	ɔ t p a d u f
okolice	ɔ k ɔ l i t͡s ɛ
op	ɔ p
osiągnął	ɔ ɕ ɔ ŋ ɡ n ɔ w
porno	p ɔ r n ɔ
powstało	p ɔ f s t a w ɔ
przewodniczącego	p ʂ ɛ v ɔ d ɲ i t͡ʂ ɔ n t͡s ɛ ɡ ɔ
social	s ɔ t͡ɕ a l
sukcesem	s u k t͡s ɛ s ɛ m
symbolem	s ɘ m b ɔ l ɛ m
technicznych	t ɛ x ɲ i t͡ʂ n ɘ x
użytkownicy	u ʐ ɘ t k ɔ v ɲ i t͡s ɘ
własnością	v w a s n ɔ ɕ t͡ɕ ɔ w̃
zakładu	z a k w a d u
zapowiada	z a p ɔ v j a d a
air	a i r
ekipy	ɛ k i p ɘ
fani	f a ɲ i
graczy	ɡ r a t͡ʂ ɘ
internetowego	i n t ɛ r n ɛ t ɔ v ɛ ɡ ɔ
jakiejkolwiek	j a k j ɛ j k ɔ l v j ɛ k
krzyża	k ʂ ɘ ʐ a
mistrzów	m i s t ʂ u f
mr	ɛ m ɛ r
najwyższym	n a j v ɘ ʂ ʂ ɘ m
national	n a t j ɔ n a l
nielegalne	ɲ ɛ l ɛ ɡ a l n ɛ
niezbędne	ɲ ɛ z b ɛ n d n ɛ
obsługi	ɔ p s w u ɡ i
oglądania	ɔ ɡ l ɔ n d a ɲ a
podstawowym	p ɔ t s t a v ɔ v ɘ m
pojazdów	p ɔ j a z d u f
politycznym	p ɔ l i t ɘ t͡ʂ n ɘ m
powstaje	p ɔ f s t a j ɛ
protesty	p r ɔ t ɛ s t ɘ
przedsiębiorstw	p ʂ ɛ t ɕ ɛ m b j ɔ r s t f
rodzinne	r ɔ d͡ʑ i n n ɛ
rośliny	r ɔ ɕ l i n ɘ
smaku	s m a k u
sąsiadów	s ɔ w̃ ɕ a d u f
tematów	t ɛ m a t u f
wprowadził	f p r ɔ v a d͡ʑ i w
wspólnej	f s p u l n ɛ j
wybrzeża	v ɘ b ʐ ɛ ʐ a
wystąpienia	v ɘ s t ɔ m p j ɛ ɲ a
zm	z ɛ m
adama	a d a m a
centralnej	t͡s ɛ n t r a l n ɛ j
działacze	d͡ʑ a w a t͡ʂ ɛ
et	ɛ t
hm	x ɛ m
if	i f
just	j u s t
koalicji	k ɔ a l i t͡s j i
krytyki	k r ɘ t ɘ k i
lidera	l i d ɛ r a
medyczne	m ɛ d ɘ t͡ʂ n ɛ
metodą	m ɛ t ɔ d ɔ w̃
more	m ɔ r ɛ
mozesz	m ɔ z ɛ ʂ
należało	n a l ɛ ʐ a w ɔ
narodzenia	n a r ɔ d͡z ɛ ɲ a
obowiązku	ɔ b ɔ v j ɔ n s k u
odniesieniu	ɔ d ɲ ɛ ɕ ɛ ɲ u
opublikował	ɔ p u b l i k ɔ v a w
osobowości	ɔ s ɔ b ɔ v ɔ ɕ t͡ɕ i
oszczędności	ɔ ʂ t͡ʂ ɛ n d n ɔ ɕ t͡ɕ i
prośbę	p r ɔ ɕ b ɛ
przeciwników	p ʂ ɛ t͡ɕ i v ɲ i k u f
przedsiębiorców	p ʂ ɛ t ɕ ɛ m b j ɔ r t͡s u f
północno	p u w n ɔ t͡s n ɔ
rzuca	ʐ u t͡s a
serię	s ɛ r j ɛ
sprawiają	s p r a v j a j ɔ w̃
szoku	ʂ ɔ k u
sędziego	s ɛ ɲ d͡ʑ ɛ ɡ ɔ
telewizyjne	t ɛ l ɛ v i z ɘ j n ɛ
trasę	t r a s ɛ
trwania	t r f a ɲ a
utrzymuje	u t ʂ ɘ m u j ɛ
via	v j a
wywiadzie	v ɘ v j a d͡ʑ ɛ
zabrakło	z a b r a k w ɔ
zamieszkania	z a m j ɛ ʂ k a ɲ a
zawodach	z a v ɔ d a x
zawodowe	z a v ɔ d ɔ v ɛ
zawodu	z a v ɔ d u
artyści	a r t ɘ ɕ t͡ɕ i
brukseli	b r u k s ɛ l i
departamentu	d ɛ p a r t a m ɛ n t u
dostępnych	d ɔ s t ɛ m p n ɘ x
indii	i n d j i
karnego	k a r n ɛ ɡ ɔ
kevin	k ɛ v i n
kończą	k ɔ ɲ t͡ʂ ɔ w̃
kulturę	k u l t u r ɛ
kursy	k u r s ɘ
ministrem	m i ɲ i s t r ɛ m
naukowców	n a w k ɔ f t͡s u f
obawy	ɔ b a v ɘ
objawy	ɔ b j a v ɘ
obrońcy	ɔ b r ɔ ɲ t͡s ɘ
odbywają	ɔ d b ɘ v a j ɔ w̃
ogłoszenia	ɔ ɡ w ɔ ʂ ɛ ɲ a
opowiadania	ɔ p ɔ v j a d a ɲ a
ośmiu	ɔ ɕ m j u
placówki	p l a t͡s u f k i
podatki	p ɔ d a t k i
podziału	p ɔ d͡ʑ a w u
pomysłem	p ɔ m ɘ s w ɛ m
propagandy	p r ɔ p a ɡ a n d ɘ
prowadzona	p r ɔ v a d͡z ɔ n a
regulacji	r ɛ ɡ u l a t͡s j i
rejestru	r ɛ j ɛ s t r u
samolotów	s a m ɔ l ɔ t u f
skarbu	s k a r b u
spowodowane	s p ɔ v ɔ d ɔ v a n ɛ
star	s t a r
wpływy	f p w ɘ v ɘ
wyższych	v ɘ ʂ ʂ ɘ x
zagraniczne	z a ɡ r a ɲ i t͡ʂ n ɛ
az	a s
czytelników	t͡ʂ ɘ t ɛ l ɲ i k u f
dotyczą	d ɔ t ɘ t͡ʂ ɔ w̃
dowodem	d ɔ v ɔ d ɛ m
finansowej	f i n a n s ɔ v ɛ j
gospodarczego	ɡ ɔ s p ɔ d a r t͡ʂ ɛ ɡ ɔ
historyczne	x i s t ɔ r ɘ t͡ʂ n ɛ
joe	j ɔ ɛ
koncerty	k ɔ n t͡s ɛ r t ɘ
kontakty	k ɔ n t a k t ɘ
królestwa	k r u l ɛ s t f a
lokalnego	l ɔ k a l n ɛ ɡ ɔ
mac	m a t͡s
maila	m a i l a
mike	m i k ɛ
niepełnosprawnych	ɲ ɛ p ɛ w n ɔ s p r a v n ɘ x
odcinki	ɔ t t͡ɕ i ŋ k i
opcje	ɔ p t͡s j ɛ
piotra	p j ɔ t r a
poprawy	p ɔ p r a v ɘ
położony	p ɔ w ɔ ʐ ɔ n ɘ
prasy	p r a s ɘ
produktu	p r ɔ d u k t u
przejścia	p ʂ ɛ j ɕ t͡ɕ a
przeznaczone	p ʂ ɛ z n a t͡ʂ ɔ n ɛ
radiu	r a d j u
raportu	r a p ɔ r t u
rasy	r a s ɘ
spowodowało	s p ɔ v ɔ d ɔ v a w ɔ
story	s t ɔ r ɘ
stworzony	s t f ɔ ʐ ɔ n ɘ
szkody	ʂ k ɔ d ɘ
szkolnego	ʂ k ɔ l n ɛ ɡ ɔ
temperatury	t ɛ m p ɛ r a t u r ɘ
tradycyjne	t r a d ɘ t͡s ɘ j n ɛ
wybranych	v ɘ b r a n ɘ x
wychodzą	v ɘ x ɔ d͡z ɔ w̃
zakończył	z a k ɔ ɲ t͡ʂ ɘ w
zrobic	z r ɔ b i t͡s
andrew	a n d r ɛ f
artysty	a r t ɘ s t ɘ
cia	t͡ɕ a
donald	d ɔ n a l t
du	d u
ekonomicznych	ɛ k ɔ n ɔ m i t͡ʂ n ɘ x
filmach	f i l m a x
finansowego	f i n a n s ɔ v ɛ ɡ ɔ
henry	x ɛ n r ɘ
historycznych	x i s t ɔ r ɘ t͡ʂ n ɘ x
kluczowe	k l u t͡ʂ ɔ v ɛ
koncertu	k ɔ n t͡s ɛ r t u
konieczności	k ɔ ɲ ɛ t͡ʂ n ɔ ɕ t͡ɕ i
liderem	l i d ɛ r ɛ m
obszary	ɔ p ʂ a r ɘ
oficjalnej	ɔ f i t͡s j a l n ɛ j
podstawą	p ɔ t s t a v ɔ w̃
polish	p ɔ l i ʂ
poprostu	p ɔ p r ɔ s t u
postacią	p ɔ s t a t͡ɕ ɔ w̃
poszukiwaniu	p ɔ ʂ u k i v a ɲ u
power	p ɔ v ɛ r
pracujących	p r a t͡s u j ɔ n t͡s ɘ x
producentów	p r ɔ d u t͡s ɛ n t u f
programem	p r ɔ ɡ r a m ɛ m
przedstawił	p ʂ ɛ t s t a v i w
rezultaty	r ɛ z u l t a t ɘ
rosją	r ɔ s j ɔ w̃
santa	s a n t a
scott	s k ɔ t
sektora	s ɛ k t ɔ r a
specjalnej	s p ɛ t͡s j a l n ɛ j
społeczną	s p ɔ w ɛ t͡ʂ n ɔ w̃
stosunków	s t ɔ s u ŋ k u f
uznania	u z n a ɲ a
wyglada	v ɘ ɡ l a d a
wynagrodzenia	v ɘ n a ɡ r ɔ d͡z ɛ ɲ a
wysiłku	v ɘ ɕ i w k u
własnie	v w a s ɲ ɛ
zapytał	z a p ɘ t a w
znanego	z n a n ɛ ɡ ɔ
zniszczenia	z ɲ i ʂ t͡ʂ ɛ ɲ a
can	t͡s a n
chris	x r i s
dzieł	d͡ʑ ɛ w
ekranu	ɛ k r a n u
fundusze	f u n d u ʂ ɛ
gold	ɡ ɔ l t
gospodarczych	ɡ ɔ s p ɔ d a r t͡ʂ ɘ x
ilością	i l ɔ ɕ t͡ɕ ɔ w̃
indiach	i n d j a x
johna	j ɔ x n a
koncertów	k ɔ n t͡s ɛ r t u f
line	l i n ɛ
lo	l ɔ
marii	m a r j i
modlitwy	m ɔ d l i t f ɘ
naturalnego	n a t u r a l n ɛ ɡ ɔ
niszczy	ɲ i ʂ t͡ʂ ɘ
pieśni	p j ɛ ɕ ɲ i
podobało	p ɔ d ɔ b a w ɔ
portugalii	p ɔ r t u ɡ a l j i
porównania	p ɔ r u v n a ɲ a
połączone	p ɔ w ɔ n t͡ʂ ɔ n ɛ
producenta	p r ɔ d u t͡s ɛ n t a
projektem	p r ɔ j ɛ k t ɛ m
rozpoczęcia	r ɔ s p ɔ t͡ʂ ɛ ɲ t͡ɕ a
siedziby	ɕ ɛ d͡ʑ i b ɘ
simon	ɕ i m ɔ n
stanowisk	s t a n ɔ v i s k
szkolnych	ʂ k ɔ l n ɘ x
testów	t ɛ s t u f
twórców	t f u r t͡s u f
uchwały	u x f a w ɘ
używania	u ʐ ɘ v a ɲ a
wewnętrznej	v ɛ v n ɛ n t ʂ n ɛ j
wizji	v i z j i
wyborczych	v ɘ b ɔ r t͡ʂ ɘ x
wychowania	v ɘ x ɔ v a ɲ a
wykonana	v ɘ k ɔ n a n a
wyróżnia	v ɘ r u ʐ ɲ a
wyścigu	v ɘ ɕ t͡ɕ i ɡ u
zwolniony	z v ɔ l ɲ ɔ n ɘ
bohaterowie	b ɔ x a t ɛ r ɔ v j ɛ
carlos	t͡s a r l ɔ s
centralnego	t͡s ɛ n t r a l n ɛ ɡ ɔ
ch	x
dochodów	d ɔ x ɔ d u f
dostali	d ɔ s t a l i
festival	f ɛ s t i v a l
gospodarcze	ɡ ɔ s p ɔ d a r t͡ʂ ɛ
have	x a v ɛ
jork	j ɔ r k
kapitału	k a p i t a w u
licencji	l i t͡s ɛ n t͡s j i
majątku	m a j ɔ n t k u
mial	m j a l
najlepszej	n a j l ɛ p ʂ ɛ j
napięcia	n a p j ɛ ɲ t͡ɕ a
obowiązuje	ɔ b ɔ v j ɔ n z u j ɛ
odcinków	ɔ t t͡ɕ i ŋ k u f
oficjalna	ɔ f i t͡s j a l n a
organizowane	ɔ r ɡ a ɲ i z ɔ v a n ɛ
otworzył	ɔ t f ɔ ʐ ɘ w
paryża	p a r ɘ ʐ a
piłkarzy	p i w k a ʐ ɘ
począwszy	p ɔ t͡ʂ ɔ w̃ f ʂ ɘ
poinformował	p ɔ i n f ɔ r m ɔ v a w
powodują	p ɔ v ɔ d u j ɔ w̃
pozbawienia	p ɔ z b a v j ɛ ɲ a
press	p r ɛ s
przeciwnym	p ʂ ɛ t͡ɕ i v n ɘ m
przestaje	p ʂ ɛ s t a j ɛ
science	s t͡ɕ ɛ n t͡s ɛ
sejmie	s ɛ j m j ɛ
silnika	ɕ i l ɲ i k a
społecznym	s p ɔ w ɛ t͡ʂ n ɘ m
ur	u r
william	v i l j a m
wrocławia	v r ɔ t͡s w a v j a
wyborcze	v ɘ b ɔ r t͡ʂ ɛ
wyglądu	v ɘ ɡ l ɔ n d u
zakończyła	z a k ɔ ɲ t͡ʂ ɘ w a
znanym	z n a n ɘ m
arenie	a r ɛ ɲ ɛ
dan	d a n
datę	d a t ɛ
debaty	d ɛ b a t ɘ
dot	d ɔ t
działał	d͡ʑ a w a w
dziesiątki	d͡ʑ ɛ ɕ ɔ n t k i
emigracji	ɛ m i ɡ r a t͡s j i
fm	ɛ f ɛ m
france	f r a n t͡s ɛ
green	ɡ r i n
group	ɡ r u p
handlowe	x a n d l ɔ v ɛ
handlowych	x a n d l ɔ v ɘ x
internetowym	i n t ɛ r n ɛ t ɔ v ɘ m
jezeli	j ɛ z ɛ l i
kibiców	k i b i t͡s u f
kliknij	k l i k ɲ i j
konkretne	k ɔ ŋ k r ɛ t n ɛ
kopalni	k ɔ p a l ɲ i
michaela	m i x a ɛ l a
największej	n a j v j ɛ ŋ k ʂ ɛ j
now	n ɔ f
nowoczesna	n ɔ v ɔ t͡ʂ ɛ s n a
oferty	ɔ f ɛ r t ɘ
opłaty	ɔ p w a t ɘ
organów	ɔ r ɡ a n u f
parlamencie	p a r l a m ɛ n t͡ɕ ɛ
parlamentarnych	p a r l a m ɛ n t a r n ɘ x
premierem	p r ɛ m j ɛ r ɛ m
procedury	p r ɔ t͡s ɛ d u r ɘ
przeciwnika	p ʂ ɛ t͡ɕ i v ɲ i k a
różnicę	r u ʐ ɲ i t͡s ɛ
sportowych	s p ɔ r t ɔ v ɘ x
sukcesy	s u k t͡s ɛ s ɘ
szkolnym	ʂ k ɔ l n ɘ m
tabletki	t a b l ɛ t k i
tematyce	t ɛ m a t ɘ t͡s ɛ
towarzystwie	t ɔ v a ʐ ɘ s t f j ɛ
university	u ɲ i v ɛ r ɕ i t ɘ
usunięcia	u s u ɲ ɛ ɲ t͡ɕ a
wizerunku	v i z ɛ r u ŋ k u
wykonuje	v ɘ k ɔ n u j ɛ
wyobraźni	v ɘ ɔ b r a ʑ ɲ i
badaniach	b a d a ɲ a x
burmistrza	b u r m i s t ʂ a
dostają	d ɔ s t a j ɔ w̃
działaczy	d͡ʑ a w a t͡ʂ ɘ
ex	ɛ k s
gminie	ɡ m i ɲ ɛ
interesują	i n t ɛ r ɛ s u j ɔ w̃
jakiegokolwiek	j a k j ɛ ɡ ɔ k ɔ l v j ɛ k
klubów	k l u b u f
kontaktów	k ɔ n t a k t u f
muzycznej	m u z ɘ t͡ʂ n ɛ j
narodowości	n a r ɔ d ɔ v ɔ ɕ t͡ɕ i
niedawna	ɲ ɛ d a v n a
nobla	n ɔ b l a
obronę	ɔ b r ɔ n ɛ
oskarżenia	ɔ s k a r ʐ ɛ ɲ a
prywatnym	p r ɘ v a t n ɘ m
przygotowane	p ʂ ɘ ɡ ɔ t ɔ v a n ɛ
putina	p u t i n a
re	r ɛ
skomplikowane	s k ɔ m p l i k ɔ v a n ɛ
spadku	s p a t k u
steve	s t ɛ v ɛ
stosowania	s t ɔ s ɔ v a ɲ a
sumienia	s u m j ɛ ɲ a
sztuce	ʂ t u t͡s ɛ
transakcji	t r a n s a k t͡s j i
twórczości	t f u r t͡ʂ ɔ ɕ t͡ɕ i
ugrupowania	u ɡ r u p ɔ v a ɲ a
west	v ɛ s t
wewnętrzne	v ɛ v n ɛ n t ʂ n ɛ
wpisy	f p i s ɘ
wrażenia	v r a ʐ ɛ ɲ a
współczesnej	f s p u w t͡ʂ ɛ s n ɛ j
wypadków	v ɘ p a t k u f
zaburzenia	z a b u ʐ ɛ ɲ a
zadowolona	z a d ɔ v ɔ l ɔ n a
zdarzają	z d a ʐ a j ɔ w̃
zmuszony	z m u ʂ ɔ n ɘ
zwrócił	z v r u t͡ɕ i w
światowego	ɕ f j a t ɔ v ɛ ɡ ɔ
amerykanów	a m ɛ r ɘ k a n u f
argumenty	a r ɡ u m ɛ n t ɘ
biblii	b i b l j i
bob	b ɔ p
dźwięku	d͡ʑ v j ɛ ŋ k u
ekonomiczne	ɛ k ɔ n ɔ m i t͡ʂ n ɛ
eksperci	ɛ k s p ɛ r t͡ɕ i
elektryczne	ɛ l ɛ k t r ɘ t͡ʂ n ɛ
ew	ɛ f
gdyni	ɡ d ɘ ɲ i
grupach	ɡ r u p a x
high	x i x
interwencji	i n t ɛ r v ɛ n t͡s j i
kościołem	k ɔ ɕ t͡ɕ ɔ w ɛ m
któregoś	k t u r ɛ ɡ ɔ ɕ
nowoczesnej	n ɔ v ɔ t͡ʂ ɛ s n ɛ j
obszarach	ɔ p ʂ a r a x
ocenę	ɔ t͡s ɛ n ɛ
odmiany	ɔ d m j a n ɘ
okolicznościach	ɔ k ɔ l i t͡ʂ n ɔ ɕ t͡ɕ a x
podejścia	p ɔ d ɛ j ɕ t͡ɕ a
podnosi	p ɔ d n ɔ ɕ i
pojazdu	p ɔ j a z d u
postawy	p ɔ s t a v ɘ
potrzebę	p ɔ t ʂ ɛ b ɛ
pow	p ɔ f
powstają	p ɔ f s t a j ɔ w̃
pozostają	p ɔ z ɔ s t a j ɔ w̃
pracodawcy	p r a t͡s ɔ d a f t͡s ɘ
prywatnego	p r ɘ v a t n ɛ ɡ ɔ
prywatności	p r ɘ v a t n ɔ ɕ t͡ɕ i
przeprowadził	p ʂ ɛ p r ɔ v a d͡ʑ i w
serbii	s ɛ r b j i
sony	s ɔ n ɘ
spełnia	s p ɛ w ɲ a
standardów	s t a n d a r d u f
tl	t ɛ l
tradycyjnych	t r a d ɘ t͡s ɘ j n ɘ x
trafiła	t r a f i w a
ukazał	u k a z a w
wspólną	f s p u l n ɔ w̃
wystarczyło	v ɘ s t a r t͡ʂ ɘ w ɔ
zakazu	z a k a z u
zawodnicy	z a v ɔ d ɲ i t͡s ɘ
założona	z a w ɔ ʐ ɔ n a
zmarłych	z m a r w ɘ x
best	b ɛ s t
dziedziny	d͡ʑ ɛ d͡ʑ i n ɘ
ekranie	ɛ k r a ɲ ɛ
głupoty	ɡ w u p ɔ t ɘ
historycznej	x i s t ɔ r ɘ t͡ʂ n ɛ j
homo	x ɔ m ɔ
jones	j ɔ n ɛ s
juan	j u a n
kategoriach	k a t ɛ ɡ ɔ r j a x
know	k n ɔ f
kolekcji	k ɔ l ɛ k t͡s j i
ktorzy	k t ɔ ʐ ɘ
mario	m a r j ɔ
miami	m j a m i
mil	m i l
moj	m ɔ j
negatywne	n ɛ ɡ a t ɘ v n ɛ
opisał	ɔ p i s a w
pojawiło	p ɔ j a v i w ɔ
popularności	p ɔ p u l a r n ɔ ɕ t͡ɕ i
pozostał	p ɔ z ɔ s t a w
połączeniu	p ɔ w ɔ n t͡ʂ ɛ ɲ u
producenci	p r ɔ d u t͡s ɛ n t͡ɕ i
przedstawienia	p ʂ ɛ t s t a v j ɛ ɲ a
przekracza	p ʂ ɛ k r a t͡ʂ a
publiczności	p u b l i t͡ʂ n ɔ ɕ t͡ɕ i
rodzajów	r ɔ d͡z a j u f
rowerze	r ɔ v ɛ ʐ ɛ
rozpoczęciem	r ɔ s p ɔ t͡ʂ ɛ ɲ t͡ɕ ɛ m
siedzibę	ɕ ɛ d͡ʑ i b ɛ
specjalistów	s p ɛ t͡s j a l i s t u f
spędził	s p ɛ ɲ d͡ʑ i w
straciła	s t r a t͡ɕ i w a
urzędników	u ʐ ɛ n d ɲ i k u f
wejściu	v ɛ j ɕ t͡ɕ u
wspomnień	f s p ɔ m ɲ ɛ ɲ
współczesnych	f s p u w t͡ʂ ɛ s n ɘ x
wstydu	f s t ɘ d u
wyborczego	v ɘ b ɔ r t͡ʂ ɛ ɡ ɔ
wybrali	v ɘ b r a l i
wydziale	v ɘ d͡ʑ a l ɛ
wykonany	v ɘ k ɔ n a n ɘ
względów	v z ɡ l ɛ n d u f
właściciele	v w a ɕ t͡ɕ i t͡ɕ ɛ l ɛ
zadowoleni	z a d ɔ v ɔ l ɛ ɲ i
zewnętrzne	z ɛ v n ɛ n t ʂ n ɛ
zniszczone	z ɲ i ʂ t͡ʂ ɔ n ɛ
zwiększa	z v j ɛ ŋ k ʂ a
śledztwa	ɕ l ɛ t͡s t f a
bazę	b a z ɛ
będących	b ɛ n d ɔ n t͡s ɘ x
deklaracji	d ɛ k l a r a t͡s j i
domku	d ɔ m k u
efektem	ɛ f ɛ k t ɛ m
epoki	ɛ p ɔ k i
fałszywe	f a w ʂ ɘ v ɛ
fizyczne	f i z ɘ t͡ʂ n ɛ
integracji	i n t ɛ ɡ r a t͡s j i
king	k i ŋ k
kl	k ɛ l
korporacji	k ɔ r p ɔ r a t͡s j i
kursu	k u r s u
legii	l ɛ ɡ j i
likwidacji	l i k f i d a t͡s j i
lokalizacji	l ɔ k a l i z a t͡s j i
mix	m i k s
możliwa	m ɔ ʐ l i v a
obywatelskiej	ɔ b ɘ v a t ɛ l s k j ɛ j
opisane	ɔ p i s a n ɛ
osob	ɔ s ɔ p
otoczenia	ɔ t ɔ t͡ʂ ɛ ɲ a
partnerem	p a r t n ɛ r ɛ m
podjęcia	p ɔ d j ɛ ɲ t͡ɕ a
pokazała	p ɔ k a z a w a
potencjalnych	p ɔ t ɛ n t͡s j a l n ɘ x
pozostała	p ɔ z ɔ s t a w a
przeprowadzenia	p ʂ ɛ p r ɔ v a d͡z ɛ ɲ a
przypomniał	p ʂ ɘ p ɔ m ɲ a w
samolotem	s a m ɔ l ɔ t ɛ m
seksualnej	s ɛ k s u a l n ɛ j
sex	s ɛ k s
smith	s m i t
stadionie	s t a d j ɔ ɲ ɛ
tablicy	t a b l i t͡s ɘ
trzema	t ʂ ɛ m a
wakacji	v a k a t͡s j i
warsztaty	v a r ʂ t a t ɘ
wiejskich	v j ɛ j s k i x
wycieczki	v ɘ t͡ɕ ɛ t͡ʂ k i
wykształcenia	v ɘ k ʂ t a w t͡s ɛ ɲ a
zapewnienia	z a p ɛ v ɲ ɛ ɲ a
zapytania	z a p ɘ t a ɲ a
zwolennicy	z v ɔ l ɛ n ɲ i t͡s ɘ
cala	t͡s a l a
dekady	d ɛ k a d ɘ
ekonomicznej	ɛ k ɔ n ɔ m i t͡ʂ n ɛ j
indywidualnie	i n d ɘ v i d u a l ɲ ɛ
isis	i ɕ i s
językach	j ɛ n z ɘ k a x
kelly	k ɛ l l ɘ
komentarza	k ɔ m ɛ n t a ʐ a
konkretnego	k ɔ ŋ k r ɛ t n ɛ ɡ ɔ
korzystania	k ɔ ʐ ɘ s t a ɲ a
kwotę	k f ɔ t ɛ
litery	l i t ɛ r ɘ
minutach	m i n u t a x
moskwy	m ɔ s k f ɘ
nastąpiło	n a s t ɔ m p i w ɔ
obywatela	ɔ b ɘ v a t ɛ l a
okupacji	ɔ k u p a t͡s j i
platformę	p l a t f ɔ r m ɛ
podstawową	p ɔ t s t a v ɔ v ɔ w̃
popularna	p ɔ p u l a r n a
popularnych	p ɔ p u l a r n ɘ x
